id,K,Short description,Type 1,Type 2,Material,height,width,length,depth,diameter,remarks,Condition,Datation,Remarks on datation,Date of discovery (DD/MM/YYYY),Conservation
74,K 212,"Block statue of Ms-nfr. Alexandria, National Museum 68 (= Cairo JE 37013)",Statue,Block statue,Basalt,21,,,,,,Complete, New Kingdom,,18/4/1904,
75,K 213,"Block statue of Ḏd-Jmn-jw.f-ʿnḫ, son of Nhm-sw-Mwt. Cairo JE 37018 (= CG 42272*)",Statue,Block statue,Limestone,29,,,,,,, T.I.P. 25th dyn.,,18/4/1904,
76,K 214,"Block statue of Jrt-Ḥr-r.w, whose beautiful name is Ḏd-Ḫnsw-jw.f-ʿnḫ. Cairo CG 48627",Statue,Block statue,Greywacke,32.4,,,,,JE: 33,Complete, Late Period 26th dyn. Psammetichus I,,17/4/1904,
77,K 216,"Block statue of Pȝ-dj-mwt, son of Ns-pȝwty-tȝwy. Cairo CG 42215",Statue,Block statue," ""Grey"" granite",35,13.5,,19.5,,CG: 35,Almost complete, T.I.P. 22nd dyn.,,16/4/1904,
78,K 217,"Block statue of Wsjr-wr, son of Ns-pȝwty-tȝwy and Ns-Tfnwt. Cairo JE 36959",Statue,Block statue,Limestone,36,,,,,,, Ptolemaic Period,,1904,
79,K 218,Block statue of Jmn-ḥtp. Cairo JE 36966,Statue,Block statue,Limestone,34,,,,,,, Ptolemaic Period,,16/4/1904,
80,K 219,"Block statue of Ddjȝ, son of Ḥȝtjȝy. Cairo CG 42122",Statue,Block statue holding basin,"""Black"" Granite",50,,,,,,, New Kingdom 19th dyn. Sety I,,16/4/1904,
81,K 225,Block statue of Ṯȝ-nfr. Cairo JE 36979,Statue,Block statue,"""Black"" Granite",52,,,,,,, New Kingdom 19th dyn.,,20/4/1904,
82,K 231,"Block statue of Psmṯk, son of Ḥr-sȝ-Ȝst and Tȝ-šrjt-n-Bȝstt. Cairo JE 36975",Statue,Block statue,Limestone,32,,,,,,, Late Period-Ptolemaic Period Ptolemies ?,,,
83,K 233,Block statue of Ns-Ptḥ. Cairo CG 42235 (+ Cairo RT 18/12/28/25),Statue,Block statue,Limestone,20,11,,11*,,"Les dimensions de cette statuette fragmentaire étaient contradictoires entre:
• JE qui donnait: “haut. 0,16 m (0,20 Head found)” et
• CG (sans photo), où cette statue donnée pour acéphale par Legrain (« Il ne reste que trois morceaux de cette statuette. La tête manque ainsi que la partie postérieure gauche du corps »), fait pourtant aussi 20 cm.
Après vérification la statue est composée de fragments remontés (dont la moitié d’une tête) et les mesures prises sont données ci-dessus.
[EJ/FP — 24/03/2007 et 13/05/2008]
Les dimensions de RT 18/12/28/25 sont à prendre en compte [LC — 23/6/2009]
[Dimensions RT 18/12/28/25: H. 6,5, larg. 6, prof. 7 (Vérif. Ss-Sol du 28/05/2008)]",En morceaux disjoints, T.I.P. 25th dyn. Shabataka,,23/4/1904,
84,K 234,"Block statue of Ns-pȝ-sfj, called Snw-šrj, son of Pȝ-Ḫȝrw. Cairo JE 36998 (= CG 42257*)",Statue,Block statue,Limestone,21,11,,10,,"Jansen-Winkeln:2001
Hauteur: 21 / Socle profondeur: 15/ largeur: 10/ hauteur: 2,9",, T.I.P. 22nd-23rd dyn.,,23/4/1904,
85,K 236,"Block statue of J-jry, son of Kȝp.f-ḥȝ-Mnṯw and Mry-Mwt. Cairo JE 36945",Statue,Block statue,"""Black"" Granite",49,18,,23,,Jansen-Winkeln:2001 Largeur et Profondeur du socle,Complete, Late Period-Ptolemaic Period,,23/4/1904,
86,K 236bis,"Block statue of ʿnḫ-pȝ-ẖrd, son of Pȝ-jw-n-Ḥr. Cairo JE 37154",Statue,Block statue,"""Black"" Granite",42,,,,,,, Ptolemaic Period,,23/4/1904,
87,K 237,"Block statue of Ḥr-sȝ-Ȝst, son of Ns-Ptḥ. Cairo CG 42247",Statue,Block statue,Limestone,17,,,,,,Broken (head and feet missing), T.I.P.-Late Period trans. 25th-26th dyn.,,23/4/1904,
88,K 237bis,"Block statue of Ḥr-sȝ-Ȝst, son of Pȝ-dj-nfr-ḥtp. Cairo RT 18/12/24/3",Statue,Block statue,Limestone,35,,,,,,, Ptolemaic Period,,,
89,K 243,"Block statue of Nḫt.f-Mwt (A), called Ḏd-Ḏḥwty-jw.f-ʿnḫ, son of Ḏd-Ḫnsw-jw.f-ʿnḫ and Ns-Ḫnsw-pȝ-ẖrd, with figure of Ptah. Cairo CG 42209",Statue,Block statue with figure of deity (Ptah),Limestone,42,,,,,"Idem Brandl:2008
JE: 41",Almost complete, T.I.P. 22nd dyn. Osorkon II,,24/4/1904,
90,K 244,"Block statue of Pȝ-mj, Third Prophet of Amun. Cairo JE 36940 (= CG 42275*)",Statue,Block statue,Basalt,32,,,,,,, T.I.P. 22nd-23rd dyn.,,24/4/1904,
91,K 246,Block statue of Swty holding ram-headed standard. Cairo CG 42172,Statue,Block statue holding ram-headed standard,"""Black"" Granite",48,30,,38.5,,"JE: 49
CG: 47.5",Broken (lower part missing), New Kingdom 19th dyn. Ramesses II,,24/4/1904,
92,K 247,Block statue of Ḥȝt-jȝy. Cairo JE 37433,Statue,Block statue holding sistrum,Basalt,14,,,,,,, New Kingdom,,,
93,K 248,Block statue of Ḏd-Mwt-jw.f-ʿnḫ. Cairo JE 37430,Statue,Block statue,Limestone,16,,,,,,Broken (head missing), T.I.P.,,24/4/1904,
94,K 249,"Block statue of ʿnḫ.f-n-Jmn, son of Ns-Jmn. Cairo JE 37439",Statue,Block statue,Limestone,17,,,,,Brandl:2008 = JE,, T.I.P.-Late Period trans. 22nd-23rd-25th dyn.,,24/4/1904,
95,K 254,"Block statue of Bȝ-sȝ, son of Jmn-m-jnt. Cairo JE 37219",Statue,Naophorous block statue (Ptah),Basalt,28,,,,,,, Late Period 26th dyn. Psammetichus I,,26/4/1904 (H.C.),
96,K 257,"Block statue of Bs-n-mwt, son of ʿnḫ.f-n-Ḫnsw and Ns-Ḫnsw. Cairo CG 48617",Statue,Block statue,Basalt,38.4,,,,,JE: 38,Complete, Late Period 26th dyn. Psammetichus I,,4/5/1904,
97,K 259,"Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy, son of ʿnḫ-pȝ-ẖrd and Ns-Ḥr-pȝ-Rʿ. Cairo JE 37152",Statue,Block statue,"""Black"" Granite",33,,,,,,, Ptolemaic Period,,,
98,K 263,Block statue of ʿnḫ-Ḥr. Cairo JE 37192,Statue,Block statue,Limestone,49,,,,,,, Late Period-Ptolemaic Period,,,
99,K 266,"Block statue of Bnr-mrwt, son of Tḫ-m-šȝ called Jḫm [M], holding Princess Meritamun. Cairo CG 42171",Statue,Block statue holding a child,"""Black"" Granite",70,33,,41,,,, New Kingdom 18th dyn. Tuthmosis III-Amenhotep II,,5/5/1904,
100,K 269,"Block statue of Ḏd-Ptḥ-jw.f-ʿnḫ, son of Ḥr and Nḫt-ȝst. Cairo CG 48637",Statue,Block statue,Greywacke,43.6,,,,,JE: 44,Almost complete, Late Period 26th dyn. Psammetichus I,,5/5/1904,
101,K 271,Block statue of Pȝ-dj-Ḥr-mtnw. Cairo CG 48640,Statue,Block statue,Granite,45.2,,,,,JE: 44,Broken (lower part missing), Late Period 26th dyn. Psammetichus I,,5/5/1904,
102,K 272,"Block statue of Mnṯw-m-ḥȝt, son of Rȝ-ḥȝt and Tȝ-djt-jw (?). Cairo JE 36905bis",Statue,Block statue,Siltstone,45,,,,,,, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,5/5/1904,
103,K 281,"Block statue of Ḥr-sȝ-Ȝst, son of Mr-n-Ḫnsw. Cairo JE 36967 (= CG 42274*)",Statue,Block statue,"""Black"" Granite",42,20.7,,28.2,,JE: 42,, T.I.P. 22nd-23rd dyn.,,6/5/1904,
104,K 283,"Block statue of ʿnḫ-pȝ-ẖrd, son of Pȝ-jw-n-Ḥr. Baltimore, WAG/WAM 167 (22.178) (= ex-Cairo JE 37127)",Statue,Block statue,"""Black"" Granite",27.5,,,,,,, Late Period-Ptolemaic Period,,,
105,K 285,"Block statue of Ḏd-Jn-ḥrt-jw.f-ʿnḫ, son of Ns-pȝ-qȝ-šwty. Cairo JE 37014",Statue,Block statue,Limestone,23,,,,,,, T.I.P.-Late Period trans. 25th-26th dyn.,,6/5/1904,
106,K 287,Block statue of Jmn-ms. Cairo JE 36997bis (= CG 42255*),Statue,Block statue,Limestone,18,,,,,Brandl:2008 = JE,, T.I.P. trans. 22nd-23rd-25th dyn.,,6/5/1904,
107,K 289,"Block statue of Ḥr-m-ȝḫ-bjt, called Wsjr-wr, son of Pȝ-Mnṯw (called Pȝ-ḫȝr-Ḫnsw) and Ns-Ḫnsw. Cairo JE 36984",Statue,Block statue,"""Black"" Granite",55,,,,,,Almost complete, Ptolemaic Period Ptolemies Ptolemy II,,6/5/1904,
108,K 295,Block statue of Ḏd-Mwt-jw.f-ʿnḫ. Cairo JE 37437 (= CG 42259*),Statue,Block statue,Limestone,18,7.8,,12,,JE: 18,, T.I.P. 22nd-23rd dyn.,,6/5/1904,
109,K 300,"Block statue of Ḥr, son of ʿnḫ-Ḥp and Qqj. Cairo T.R. 13/6/24/2",Statue,Block statue,Granite,36.7,,,,,,, Late Period-Ptolemaic Period,,,
110,K 301,"Block statue of Pȝ-ḫȝr-Ḫnsw, son of Pȝ-dj-Jmn-nb-nswt-tȝwy and Dj-Ȝst-ḥb-sd. Cairo JE 36980",Statue,Block statue,"""Black"" Granite",41,,,,,,, Late Period 26th dyn. Psammetichus I,,7/5/1904,
111,K 305,"Block statue, holding ram-headed standard, of Jmn-ms, son of Pȝ-wjȝ and Nbt-Jwnt. Cairo CG 42177",Statue,Block statue holding ram-headed standard,Green hard stone,35.1,,,,,JE: 34 / CG: 35,Almost complete, New Kingdom 20th dyn. Ramesses III,,8/5/1904,
112,K 307,"Block statue of Ḫȝ-m-ḥr, son of Ḥr-sȝ-Ȝst. Cairo CG 42234",Statue,Block statue," ""Grey"" granite",58,,,,,JE: 59,Complete, T.I.P. 25th dyn.,,8/5/1904,
113,K 308,"Block statue of Ḥr-sȝ-Ȝst, son of Pȝ-dj-Ȝst. Cairo CG 42233",Statue,Block statue,"""Black"" Granite",50.5,,,,,JE: 52,Almost complete, T.I.P. 25th dyn.,,8/5/1904,
114,K 309,"Block statue of Ṯȝ-n-Wȝst, son of Ḥr-sȝ-Ȝst. New York, MMA 35.9.1 (ex-Cairo JE 37003)",Statue,Block statue,"""Black"" Granite",25,,,,,,, T.I.P.-Late Period trans. 25th-26th dyn.,,8/5/1904,
115,K 310bis,"Block statue of ʿnḫ-pȝ-ẖrd, son of Wsr-Ḫnsw and Nḥm-s(y)-Rʿt-tȝwy. Cairo JE 37168",Statue,Block statue,"""Pink"" granite",44,,,,,,Complete, Late Period-Ptolemaic Period,,8/5/1904,
116,K 311,"Block statue of Ns-pȝwty-tȝwy, son of ʿnḫ.f-n-Ḫnsw. Beni Suef, Beni Suef Museum  no 1645 (= Cairo JE 37322)",Statue,Block statue,"""Black"" Granite",66,,,,,CLES 1478: 59-60 cm ?,, Ptolemaic Period,,,
117,K 312,"Block statue of Nb-nṯrw, son of Ḥr. Cairo JE 37422",Statue,Block statue,Quartzite,20.6,12,,,,JE: H 20,, T.I.P.-Late Period 25th dyn.,,,
118,,"Block statue of Wsr-Ḫnsw, son of Kȝp.f-ḥȝ-Ḫnsw and Dj-s(y)-Ȝst (?). Cairo T.R. 10/12/24/3",Statue,Block statue," ""Grey"" granite",32.3,,,,,,, Late Period-Ptolemaic Period,,,
119,K 314,"Block statue of Ns-bȝ-nb-Ḏd, called Ḥȝḥȝt, son of Ns-Mnw and Nḥm-s(y)-Rʿt-tȝwy. Cairo JE 36985",Statue,Block statue,"""Black"" Granite",46,,,,,,, Late Period,,8/5/1904,
120,K 315bis,"Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy, son of Pȝ-jw-n-Ḥr and Ȝst-wrt. Cairo JE 37167",Statue,Block statue,"""Black"" Granite",41.5,17.6,,25.8,,Jansen-Winkeln:2001 Largeur et Profondeur du socle,, Ptolemaic Period Ptolemies,,,
121,K 316,"Block statue of Ḫnsw-jr-dj.s, son of Pȝ-dj-Jmn. Cairo JE 36941",Statue,Block statue,"""Black"" Granite",34,,,,,,, Late Period,,8/5/1904,
122,K 317bis,"Block statue of Ḏd-Ḫnsw-jw.f-ʿnḫ, son of Pȝ-ḫȝr-Ḫnsw. Alexandria, Bibliotheca Alexandrina BAAM 597 (= Cairo JE 37104)",Statue,Block statue,Siltstone,44,16.5,,21.5,,Jansen-Winkeln:2001 Largeur et Profondeur du socle,Complete, Ptolemaic Period,,8/5/1904,
123,K 318,"Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy, son of Ḥr and Ȝst-rš.tj. Cairo JE 36958",Statue,Block statue,"""Black"" Granite",38,,,,,,, Ptolemaic Period Ptolemies,,8/5/1904,
124,K 320,"Block statue of Pȝy.f-ṯȝw, son of Pȝ-mj. Cairo JE 36969",Statue,Block statue,Steatite,29,,,,,,, T.I.P.-Late Period trans. 25th-26th dyn.,,8/5/1904,
125,K 321,"Block statue of Jrt-Ḥr-r.w, son of Ḏd-mȝʿt-nḫt. Cairo JE 36996",Statue,Block statue,Limestone,19,,,,,,, T.I.P.-Late Period trans. 25th-26th dyn.,,8/5/1904,
126,K 322bis,"Block statue of [...], son of Wḏȝ-Ḫnsw. Cairo T.R. 18/6/24/3",Statue,Block statue,Limestone,27.8,,,,,,, T.I.P. 25th dyn.,,,
127,K 323,"Block statue of ʿnḫ-Ḥr, son of Pȝ.s-ṯnf.j. Cairo JE 42894 (= CG 42270*)",Statue,Block statue,Limestone,52,,,,,,, T.I.P.-Late Period trans. 25th-26th dyn.,,8/5/1904(?),
128,K 324,Block statue of Ḥr-n-tȝ-bȝt holding Abydene fetish. Cairo JE 37211,Statue,Block statue with figure of deity (Abydene fetish),Limestone,28,10,,14,,JE: 28,Broken (head missing), Late Period 26th dyn. Necho II,,,
129,K 325,Block statue of Wȝḥ-jb-Rʿ-ḫw. Cairo JE 37432,Statue,Block statue,"""Black"" Granite",19,,,,,,, Late Period,,,
130,K 326bis,"Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy, son of Pȝ-dj-ʿ.s and Ȝst-m-Ȝḫ-bjt. Cairo JE 36989",Statue,Block statue,Basalt,33,,,,,,, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,8/5/1904,
131,K 327,"Block statue of Pȝ-dj-Ḥr-pȝ-Rʿ, son of Jmn-m-jpt and Dj-s(y)-Ȝst. Cairo, Airport Museum, unknown number (ex-Cairo JE 37363)",Statue,Block statue,"""Black"" Granite",30,,,,,,, Ptolemaic Period Ptolemies,,,
132,K 340,"Block statue of Ḥr-wḏȝ, son of Ḥȝrwȝ. Cairo CG 48626",Statue,Block statue,Diorite,40.5,,,,,,, Late Period 26th dyn. Psammetichus I,,22/5/1904,
133,K 342,"Block statue of Pȝ-šrj-Ḫnsw, son of Pȝ-dj[...] and Ḫȝʿ-s(t)-Jmn-jpt. Cairo JE 37181bis",Statue,Block statue,Hard crystalline limestone,30.1,,,,,JE: 29,, Late Period,,22/5/1904,
134,K 345,Block statue (anepigraphic) holding ram-headed standard. Cairo JE 37174,Statue,Block statue holding ram-headed standard,"""Black"" Granite",40,18,,34,,JE: 41,, New Kingdom 19th dyn.,,22/5/1904,
135,K 347,"Block statue of Nb-nṯrw, son of Nsr-Jmn and Ḏd-Mwt-jw.s-ʿnḫ. Alexandria, National Museum 117 (= Cairo CG 42225)",Statue,Block statue," ""Grey"" granite",110,62,,65,,CG: 110,Complete, T.I.P. 22nd dyn. Osorkon II,,23/5/1904,
136,K 349,"Naophorous block statue of Ḫʿy, son of Hȝjȝ and Ddt-Nwbt(?), with figures of Amun and Mut. Cairo CG 42165",Statue,Naophorous block statue (Amun and Mut),"""Black"" Granite",74,31,,45,,"JE: 74
CG: 73",Almost complete, New Kingdom 19th dyn. Ramesses II,,23/5/1904,
137,K 351,"Block statue of Ḥr, son of ʿnḫ-Ḫnsw. Cairo CG 48624",Statue,Block statue,Greywacke,50.6,,,,,"JE: 51
Tiradritti et alii:1998",Complete, T.I.P.-Late Period trans. 25th-26th dyn.,,24/5/1904,
138,K 355,"Block statue of Jy-m-ḥtp, son of Pȝ-km and Tȝ-šrjt-Ḫnsw. Cairo JE 37181",Statue,Block statue,Limestone,30,,,,,,, Ptolemaic Period,,,
139,K 356,"Block statue of Ḥr, son of Nsr-Jmn. Cairo CG 42222",Statue,Block statue,Limestone,43.5,,,,,"JE: 44
Brandl:2008 = CG",, T.I.P. 22nd-23rd dyn. Osorkon III,,25/5/1904,
140,K 357,"Block statue of Pȝ-jw-n-Ḥr, son of Pȝ-rd and Ȝst-Ȝḫ-bjt. Cairo JE 37335",Statue,Block statue,Limestone,59.5,25,,36,,,, Ptolemaic Period,,,
141,K 359,"Block statue of [Bs]-n-Mwt, son of Wn-nfr. Cairo JE 37183",Statue,Block statue,Green hard stone,23,12,,18,,Brandl:2008 = JE: 22,, T.I.P. 25th dyn.,,,
142,K 361,Block statue. Cairo JE 37180,Statue,Block statue,Green hard stone,24,,,,,,, Date unknown,,,
143,K 362,Block statue of ʿnḫ-pȝ-ẖrd. Cairo JE 37434,Statue,Block statue,Hard crystalline limestone,21.7,,,,,"JE: 20,5",, Late Period 26th dyn.,,,
144,K 364,"Block statue of  Pȝ-ȝḫ-rȝ.f, son of Ḥr-sȝ-Ȝst and ʿȝt-wbḫt, holding sistrum. Cairo CG 48642",Statue,Block statue holding sistrum,Greywacke,48,22,,32,,,Complete, Late Period 26th dyn. Psammetichus I,,30/5/1904,
145,K 365,"Block statue of Ns-bȝ-nb-Ḏd, son of Pȝ-ḫȝr-Ḫnsw and Nḥm-s(y)-Rʿt-tȝwy. Baltimore, WAG/WAM 163 (22.165) (ex-Cairo JE 37165)",Statue,Block statue,"""Black"" Granite",36,,,,,,, Late Period-Ptolemaic Period,,,
146,K 366,"Block statue of Ḥr-m-ȝḫt, son of Pȝ-dj-Jmn-m-jpt and Jrty-r.w. Cairo JE 37199",Statue,Block statue,"""Black"" Granite",34,18,,24.7,,"Hauteur JE: 34,5
Jansen-Winkeln:2001 Largeur et Profondeur du socle",Complete, Late Period-Ptolemaic Period,,,
147,K 367,"Block statue of Ḥr, son of Pȝ-dj-Jmn-nb-nswt-tȝwy and Nȝ-jr-s. Cairo JE 37205",Statue,Block statue,Limestone,28,,,,,,, Late Period 26th dyn.,,,
148,K 368,Block statue of ʿnḫ.f-n-Jmn. Cairo JE 37201,Statue,Block statue,Limestone,30.5,,,,,,, T.I.P. 25th dyn.,,,
149,K 369,Block statue of Šd-sw-Ḫnsw. Cairo CG 42131,Statue,Block statue,Limestone,24,17,,16,,"JE: 24
CG: 25",Broken (head and feet missing), T.I.P. 21st-22nd dyn.,,1/6/1904,
150,K 373,"Block statue of Ȝḫ-Jmn-r.w, son of Pȝ-kjry. Kharga Museum Inv. 1587 (= Cairo CG 48602)",Statue,Block statue,Diorite,51,,,,,,Complete, T.I.P. 25th dyn. Taharqa,,1904,
151,K 378,"Block statue of Ḏd-Ḫnsw-jw.f-ʿnḫ, son of Ḥr-sȝ-Ȝst. Cairo CG 42211",Statue,Block statue,Limestone,40,,,,,Idem Brandl:2008,Almost complete, T.I.P. 22nd-23rd dyn. Osorkon III-Takelot III,,3/6/1904,
152,K 381,"Block statue of Ns-bȝ-nb-Ḏd, son of Jrty-r-ṯȝy and ẖrdw-ʿnḫ. Cairo JE 37157",Statue,Block statue,Granite,34,,,,,,, Ptolemaic Period,,,
153,K 382,"Block statue of Ḥr, son of Jy-m-ḥtp and Kr-hb. Cairo JE 37185",Statue,Block statue,Hard crystalline limestone,35.5,,,,,,, Ptolemaic Period Ptolemies Ptolemy IV,,4/6/1904,
154,K 383,"Block statue of Ḥr, son of Nb-nṯrw. Cairo JE 37344",Statue,Block statue,Limestone,28.2,16,,,,JE: H 28,, T.I.P.-Late Period trans. 25th-26th dyn.,,4/6/1904,
155,K 384,"Block statue of Pȝ-dj-Jmn-jpt, son of N(ȝ)-mnḫ-Ȝst (M), with figure of Osiris. Cairo JE 37361",Statue,Block statue with figure of deity (Osiris),Limestone,25,,,,,,, T.I.P.-Late Period trans. 25th-26th dyn.,,1904,
156,K 386,"Block statue of Wȝḥ-jb-Rʿ, son of Pȝ-dj-Jmn-nb-nswt-tȝwy and Tȝy-Jmn-nb-nswt-tȝwy. Cairo JE 37198",Statue,Block statue,Limestone,25,14,,21.5,,JE: 26,Broken (head missing), Late Period-Ptolemaic Period,,,
157,K 387,"Block statue of Jmn-m-jpt, son of Kȝp.f-ḥȝ-Mnṯw and Tȝ-šrjt-Mnw. Alexandria, National Museum 125 (Cairo JE 37170)",Statue,Block statue,"""Black"" Granite",44.5,16,,25,,"Jansen-Winkeln:2001 Largeur et Profondeur: du socle.
—————
JE: 44 (H)",Complete, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,,
158,K 388,"Block statue of Ḥr, son of Nsr-jmn and Ḏd-Mwt-jw.s-ʿnḫ. Cairo CG 42227",Statue,Block statue,Calcite,60,28,,41,,JE: 61,Complete, T.I.P. 23rd dyn. Pedubastis I,,4/6/1904,
159,K 389,"Block statue of Jw.f-ʿȝ, son of Pȝ-n-mw-(n)-Mwt. Cairo JE 37374 (= CG 42254*)",Statue,Block statue,Limestone,49.5,24.5,,34.5,,"JE: 49,5
———
Brandl:2008
H. relief av.		16.5
l. relief av.		19.5",Almost complete, T.I.P. 22nd dyn. Horsiesis,,4/6/1904,
160,K 390,"Block statue of Jw.f-ʿȝ, son of Pȝ-n-mw-(n)-Mwt. Cairo JE 37348",Statue,Block statue,Limestone,54,27,,34,,"Brandl:2008 = Payraudeau:2005
+
H. visage	8.5
H. base	8.5 (avant)",, T.I.P. 22nd dyn. Horsiesis,,,
161,K 391,Block statue of Ḏd-ḫnsw-jw.f-ʿnḫ. Cairo JE 37212,Statue,Block statue,Limestone,17,12,,13,,JE: 16,Broken (head and feet missing), T.I.P.,,1904,
162,K 392,"Block statue of Ns-ẖmnyw, son of Kȝp.f-ḥȝ-Mnṯw and of Tȝ-šrjt-Mnw. Cairo JE 37128",Statue,Block statue,"""Black"" Granite",42,16.5,,23.5,,,Complete, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,,
163,K 394,"Block statue of Ḥr-ȝḫ-bjt, son of Sr-Ḏḥwty and Tȝ-bȝkt-Ḫnsw. Cairo JE 37184",Statue,Block statue,Limestone,21,10.5,,15.5,,"JE: 21
———
Brandl:2008
H.	21.5
l.	11.3
Pr.	15.5
H. visage	3.3
H. base	3.7",, T.I.P. 22nd-23rd dyn.,,4/6/1904,
164,K 395,"Block statue of Ns-pȝ-mdw, son ofʿnḫ-pȝ-ẖrd and Ȝst-wrt. Cairo JE 37169",Statue,Block statue,"""Black"" Granite",41,15,,23.6,,Jansen-Winkeln:2001 Largeur et Profondeur du socle,Complete, Ptolemaic Period,,,
165,K 398,"Block statue of Pȝ-jw-n-Ḥr, son of Pȝ-rd and Ȝst-Ȝḫ-bjt. Cairo JE 37350",Statue,Block statue,"""Black"" Granite",57,,,,,,, Ptolemaic Period,,,
166,K 403,"Block statue of ʿnḫ-nȝ-hbw, son of Wnn-nfr and Mwt-ms. Cairo JE 37163",Statue,Block statue,"""Black"" Granite",29,,,,,,, T.I.P.-Late Period trans. 25th-26th dyn.,,,
167,K 404,Block statue of Ns-pȝ-nṯr-n-ḏr-ʿ. Cairo JE 37323 (= CG 42265*),Statue,Block statue,Limestone,47,23.5,,36.5,,JE: 47,, T.I.P. 22nd dyn. Osorkon I,,5/6/1904,
168,K 405,Block statue of Wḏȝ-Ḥr. Cairo JE 37153,Statue,Block statue,"""Black"" Granite",41,,,,,,, T.I.P. 25th dyn.,,,
169,K 408,"Block statue of Ḏd-ḥr, son of Ṯȝ-nfr and Dj-s(y)-Ȝst. Cairo JE 37354",Statue,Block statue,"""Black"" Granite",56,24,,30,,"Jansen-Winkeln:2001: Hauteur: 55,5; Profondeur (socle): 30,5; Largeur (socle): 24; Hauteur du socle: 10.",Complete, Late Period 30th dyn. Nectanebo I,,,
170,K 409,"Block statue of Jmn-wȝḥ-sw, with figure of Amenhotep I. Cairo CG 42183",Statue,Block statue with figure of deity (Amenhotep I)," ""Grey"" granite",26,11,,17.5,,CG: 25.5,Almost complete, New Kingdom 19th dyn. Ramesses II-Merenptah,,5/6/1904,
171,K 411,"Block statue of Ns-pȝ-ḥr-n-tȝ-ḥȝt, son of Ns-pȝwty-tȝwy. Cairo CG 42189",Statue,Block statue,"""Black"" Granite",62,33,,,,CG: 62,, T.I.P. 22nd dyn. Osorkon I,,5/6/1904,
172,K 291,"Block statue of Ns-Mnw, son of Pȝ-dj-Jmn-nb-nswt-tȝwy and Nfrt-jwtj. Cairo JE 37191",Statue,Block statue,Limestone,38,,,,,,Broken (head missing), Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,,
173,K 416,"Block statue of Ḏd-Ḥr, called Ḥr-m-ḥb, son of Ṯȝ-nfr and Tȝ-Jmnt. Cairo JE 37200",Statue,Block statue,Limestone,32.5,16,,22.5,,JE: 32,, Ptolemaic Period,,5/6/1904,
174,K 422,"Block statue of Bn-jw-thj-Ḥr, son of Pȝ-dj-Jmn-nb-nswt-tȝwy, Third Prophet of Amun, and Šp-n-Mwt. Cairo CG 48622",Statue,Block statue,Greywacke,29.4,,,,,JE: 31,Complete, Late Period 26th dyn. Psammetichus I,,,
175,K 425,"Block statue of Sr-Ḏḥwty, son of Wn-nfr and of ʿnḫ-n.s-Nfr-jb-Rʿ. Cairo CG 48605",Statue,Block statue,Basalt,36.4,,,,,,Complete, Late Period 26th dyn.,,6/6/1904,
176,K 426,"Block statue of Jmn-ḥtp, son of Ns-mnw and Sṯȝ-jrt-bjnt. Cairo JE 37193",Statue,Block statue,"""Black"" Granite",46,22,,29,,JE: 46,, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,6/6/1904,
177,K 427,"Block statue of Hr.s-n.f, son of Jrt-Ḥr-r.w and Ȝst-wrt. Cairo JE 37141",Statue,Block statue,"""Black"" Granite",46,,,,,,, Ptolemaic Period,,,
178,K 428,"Block statue of Pȝ-mj, son of Ḏd-Ḫnsw-jw.f-ʿnḫ. Cairo JE 37147",Statue,Block statue," ""Grey"" granite",34.8,15.8,,23,,JE : H. 34,Almost complete, T.I.P.-Late Period trans. 25th-26th dyn.,,,
179,K 431,"Block statue of Jrty-r-ṯȝj, son of Ns-pȝwty-tȝwy and Jrt-r.w. Cairo JE 37132",Statue,Block statue,Granite,31,,,,,,Almost complete, Late Period,,,
180,K 433,"Block statue of Rȝ-ḥȝt, son of Mnṯw-m-ḥȝt. Cairo JE 37342",Statue,Block statue,Siltstone,50.3,21.5,,28.5,,"hauteur JE: 50
—
largeur = largeur au niveau des bras; profondeur = profondeur base",, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,6/6/1904,
181,K 434,"Block statue of ʿnḫ-pȝ-ẖrd, son of Kȝp.f-ḥȝ-Ḫnsw and Mr-Jmn-jt.s. Cairo JE 37129",Statue,Block statue,"""Black"" Granite",47,15.5,,32.8,,Profondeur et Largeur sont celles du socle (Jansen-Winkeln:2001),, Late Period-Ptolemaic Period 30th dyn.-Ptolemies,,10/6/1904(?),
182,K 435,"Block statue of ʿnḫ.f-n-Ḫnsw, son of ʿȝ.f-n-Mwt. Cairo JE 37182",Statue,Block statue,Quartzite,25,,,,,,, T.I.P. trans. 22nd-23rd-25th dyn.,,,
183,K 437,"Block statue of Pȝ-dj-Jmn-nb-nswt-tȝwy, son of Ḥr. Cairo CG 48623",Statue,Block statue,Granite,32.4,,,,,JE: 34,Almost complete, T.I.P.-Late Period trans. 25th-26th dyn.,,,
